LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
DEU,QGDP,TOT,PC_CHGPY,Q,1985-Q4,2.370542268
DEU,QGDP,TOT,PC_CHGPY,Q,1986-Q1,2.342772922
DEU,QGDP,TOT,PC_CHGPY,Q,1986-Q2,2.493179711
DEU,QGDP,TOT,PC_CHGPY,Q,1986-Q3,1.922379197
DEU,QGDP,TOT,PC_CHGPY,Q,1986-Q4,2.32473051
DEU,QGDP,TOT,PC_CHGPY,Q,1987-Q1,0.330519523
DEU,QGDP,TOT,PC_CHGPY,Q,1987-Q2,1.415955776
DEU,QGDP,TOT,PC_CHGPY,Q,1987-Q3,1.369526997
DEU,QGDP,TOT,PC_CHGPY,Q,1987-Q4,1.974541695
DEU,QGDP,TOT,PC_CHGPY,Q,1988-Q1,3.651100816
DEU,QGDP,TOT,PC_CHGPY,Q,1988-Q2,3.212995673
DEU,QGDP,TOT,PC_CHGPY,Q,1988-Q3,3.664990184
DEU,QGDP,TOT,PC_CHGPY,Q,1988-Q4,3.234051974
DEU,QGDP,TOT,PC_CHGPY,Q,1989-Q1,5.267745076
DEU,QGDP,TOT,PC_CHGPY,Q,1989-Q2,3.809604476
DEU,QGDP,TOT,PC_CHGPY,Q,1989-Q3,3.583956124
DEU,QGDP,TOT,PC_CHGPY,Q,1989-Q4,3.564769341
DEU,QGDP,TOT,PC_CHGPY,Q,1990-Q1,4.621030767
DEU,QGDP,TOT,PC_CHGPY,Q,1990-Q2,4.713886981
DEU,QGDP,TOT,PC_CHGPY,Q,1990-Q3,5.951496332
DEU,QGDP,TOT,PC_CHGPY,Q,1990-Q4,6.581615193
DEU,QGDP,TOT,PC_CHGPY,Q,1991-Q1,7.373944486
DEU,QGDP,TOT,PC_CHGPY,Q,1991-Q2,6.283056349
DEU,QGDP,TOT,PC_CHGPY,Q,1991-Q3,3.863719276
DEU,QGDP,TOT,PC_CHGPY,Q,1991-Q4,3.392824657
DEU,QGDP,TOT,PC_CHGPY,Q,1992-Q1,2.073140882
DEU,QGDP,TOT,PC_CHGPY,Q,1992-Q2,1.824938453
DEU,QGDP,TOT,PC_CHGPY,Q,1992-Q3,1.869969805
DEU,QGDP,TOT,PC_CHGPY,Q,1992-Q4,0.239622352
DEU,QGDP,TOT,PC_CHGPY,Q,1993-Q1,-1.97452814
DEU,QGDP,TOT,PC_CHGPY,Q,1993-Q2,-1.239498099
DEU,QGDP,TOT,PC_CHGPY,Q,1993-Q3,-0.476525174
DEU,QGDP,TOT,PC_CHGPY,Q,1993-Q4,-0.249142249
DEU,QGDP,TOT,PC_CHGPY,Q,1994-Q1,1.878706574
DEU,QGDP,TOT,PC_CHGPY,Q,1994-Q2,2.150568624
DEU,QGDP,TOT,PC_CHGPY,Q,1994-Q3,2.259152409
DEU,QGDP,TOT,PC_CHGPY,Q,1994-Q4,3.557271577
DEU,QGDP,TOT,PC_CHGPY,Q,1995-Q1,1.79071673
DEU,QGDP,TOT,PC_CHGPY,Q,1995-Q2,2.291196974
DEU,QGDP,TOT,PC_CHGPY,Q,1995-Q3,1.774007202
DEU,QGDP,TOT,PC_CHGPY,Q,1995-Q4,0.619285857
DEU,QGDP,TOT,PC_CHGPY,Q,1996-Q1,0.117692428
DEU,QGDP,TOT,PC_CHGPY,Q,1996-Q2,0.740136741
DEU,QGDP,TOT,PC_CHGPY,Q,1996-Q3,0.907184037
DEU,QGDP,TOT,PC_CHGPY,Q,1996-Q4,1.619563242
DEU,QGDP,TOT,PC_CHGPY,Q,1997-Q1,1.920512702
DEU,QGDP,TOT,PC_CHGPY,Q,1997-Q2,1.856092443
DEU,QGDP,TOT,PC_CHGPY,Q,1997-Q3,1.836564881
DEU,QGDP,TOT,PC_CHGPY,Q,1997-Q4,1.823222609
DEU,QGDP,TOT,PC_CHGPY,Q,1998-Q1,3.339233881
DEU,QGDP,TOT,PC_CHGPY,Q,1998-Q2,1.575506415
DEU,QGDP,TOT,PC_CHGPY,Q,1998-Q3,1.734068336
DEU,QGDP,TOT,PC_CHGPY,Q,1998-Q4,0.569700948
DEU,QGDP,TOT,PC_CHGPY,Q,1999-Q1,0.781503637
DEU,QGDP,TOT,PC_CHGPY,Q,1999-Q2,1.220940342
DEU,QGDP,TOT,PC_CHGPY,Q,1999-Q3,1.884277516
DEU,QGDP,TOT,PC_CHGPY,Q,1999-Q4,3.112604617
DEU,QGDP,TOT,PC_CHGPY,Q,2000-Q1,3.390831342
DEU,QGDP,TOT,PC_CHGPY,Q,2000-Q2,4.24010877
DEU,QGDP,TOT,PC_CHGPY,Q,2000-Q3,3.023594733
DEU,QGDP,TOT,PC_CHGPY,Q,2000-Q4,1.925958447
DEU,QGDP,TOT,PC_CHGPY,Q,2001-Q1,2.508870736
DEU,QGDP,TOT,PC_CHGPY,Q,2001-Q2,1.614648595
DEU,QGDP,TOT,PC_CHGPY,Q,2001-Q3,1.473312741
DEU,QGDP,TOT,PC_CHGPY,Q,2001-Q4,1.667410094
DEU,QGDP,TOT,PC_CHGPY,Q,2002-Q1,-0.859365479
DEU,QGDP,TOT,PC_CHGPY,Q,2002-Q2,-0.360213902
DEU,QGDP,TOT,PC_CHGPY,Q,2002-Q3,0.290961797
DEU,QGDP,TOT,PC_CHGPY,Q,2002-Q4,0.268003793
DEU,QGDP,TOT,PC_CHGPY,Q,2003-Q1,-0.705732301
DEU,QGDP,TOT,PC_CHGPY,Q,2003-Q2,-1.029136139
DEU,QGDP,TOT,PC_CHGPY,Q,2003-Q3,-0.757230853
DEU,QGDP,TOT,PC_CHGPY,Q,2003-Q4,-0.351561509
DEU,QGDP,TOT,PC_CHGPY,Q,2004-Q1,0.982082768
DEU,QGDP,TOT,PC_CHGPY,Q,2004-Q2,1.369765682
DEU,QGDP,TOT,PC_CHGPY,Q,2004-Q3,0.412210116
DEU,QGDP,TOT,PC_CHGPY,Q,2004-Q4,0.037919387
DEU,QGDP,TOT,PC_CHGPY,Q,2005-Q1,0.213170875
DEU,QGDP,TOT,PC_CHGPY,Q,2005-Q2,0.235374775
DEU,QGDP,TOT,PC_CHGPY,Q,2005-Q3,1.283930039
DEU,QGDP,TOT,PC_CHGPY,Q,2005-Q4,1.868182917
DEU,QGDP,TOT,PC_CHGPY,Q,2006-Q1,2.850319478
DEU,QGDP,TOT,PC_CHGPY,Q,2006-Q2,4.076210279
DEU,QGDP,TOT,PC_CHGPY,Q,2006-Q3,3.983992369
DEU,QGDP,TOT,PC_CHGPY,Q,2006-Q4,5.063854346
DEU,QGDP,TOT,PC_CHGPY,Q,2007-Q1,4.137000847
DEU,QGDP,TOT,PC_CHGPY,Q,2007-Q2,3.231288249
DEU,QGDP,TOT,PC_CHGPY,Q,2007-Q3,2.952319578
DEU,QGDP,TOT,PC_CHGPY,Q,2007-Q4,2.091368972
DEU,QGDP,TOT,PC_CHGPY,Q,2008-Q1,2.655653474
DEU,QGDP,TOT,PC_CHGPY,Q,2008-Q2,1.565048592
DEU,QGDP,TOT,PC_CHGPY,Q,2008-Q3,0.408135944
DEU,QGDP,TOT,PC_CHGPY,Q,2008-Q4,-1.845717651
DEU,QGDP,TOT,PC_CHGPY,Q,2009-Q1,-7.026768845
DEU,QGDP,TOT,PC_CHGPY,Q,2009-Q2,-6.66062753
DEU,QGDP,TOT,PC_CHGPY,Q,2009-Q3,-5.527477918
DEU,QGDP,TOT,PC_CHGPY,Q,2009-Q4,-3.290887765
DEU,QGDP,TOT,PC_CHGPY,Q,2010-Q1,2.277973069
DEU,QGDP,TOT,PC_CHGPY,Q,2010-Q2,4.403387043
DEU,QGDP,TOT,PC_CHGPY,Q,2010-Q3,4.69597184
DEU,QGDP,TOT,PC_CHGPY,Q,2010-Q4,4.774038138
DEU,QGDP,TOT,PC_CHGPY,Q,2011-Q1,5.942798953
DEU,QGDP,TOT,PC_CHGPY,Q,2011-Q2,3.707855318
DEU,QGDP,TOT,PC_CHGPY,Q,2011-Q3,3.763487211
DEU,QGDP,TOT,PC_CHGPY,Q,2011-Q4,2.606848305
DEU,QGDP,TOT,PC_CHGPY,Q,2012-Q1,0.876147746
DEU,QGDP,TOT,PC_CHGPY,Q,2012-Q2,0.980562452
DEU,QGDP,TOT,PC_CHGPY,Q,2012-Q3,0.377823848
DEU,QGDP,TOT,PC_CHGPY,Q,2012-Q4,0.243074925
DEU,QGDP,TOT,PC_CHGPY,Q,2013-Q1,-0.435611518
DEU,QGDP,TOT,PC_CHGPY,Q,2013-Q2,0.439963565
DEU,QGDP,TOT,PC_CHGPY,Q,2013-Q3,0.729425255
DEU,QGDP,TOT,PC_CHGPY,Q,2013-Q4,1.483648492
DEU,QGDP,TOT,PC_CHGPY,Q,2014-Q1,2.913075283
DEU,QGDP,TOT,PC_CHGPY,Q,2014-Q2,1.82472532
DEU,QGDP,TOT,PC_CHGPY,Q,2014-Q3,1.783270004
DEU,QGDP,TOT,PC_CHGPY,Q,2014-Q4,2.302105746
DEU,QGDP,TOT,PC_CHGPY,Q,2015-Q1,0.81967864
DEU,QGDP,TOT,PC_CHGPY,Q,2015-Q2,1.532410198
DEU,QGDP,TOT,PC_CHGPY,Q,2015-Q3,1.493771112
DEU,QGDP,TOT,PC_CHGPY,Q,2015-Q4,1.110032878
DEU,QGDP,TOT,PC_CHGPY,Q,2016-Q1,2.476818989
DEU,QGDP,TOT,PC_CHGPY,Q,2016-Q2,2.178643906
DEU,QGDP,TOT,PC_CHGPY,Q,2016-Q3,2.018125025
DEU,QGDP,TOT,PC_CHGPY,Q,2016-Q4,1.90021589
DEU,QGDP,TOT,PC_CHGPY,Q,2017-Q1,2.306102514
DEU,QGDP,TOT,PC_CHGPY,Q,2017-Q2,2.679362955
DEU,QGDP,TOT,PC_CHGPY,Q,2017-Q3,3.227702713
DEU,QGDP,TOT,PC_CHGPY,Q,2017-Q4,3.734400223
DEU,QGDP,TOT,PC_CHGPY,Q,2018-Q1,2.042184252
DEU,QGDP,TOT,PC_CHGPY,Q,2018-Q2,1.816096978
DEU,QGDP,TOT,PC_CHGPY,Q,2018-Q3,0.502174423
DEU,QGDP,TOT,PC_CHGPY,Q,2018-Q4,0.084593112
DEU,QGDP,TOT,PC_CHGPY,Q,2019-Q1,1.578883507
DEU,QGDP,TOT,PC_CHGPY,Q,2019-Q2,0.518674349
DEU,QGDP,TOT,PC_CHGPY,Q,2019-Q3,1.359957007
DEU,QGDP,TOT,PC_CHGPY,Q,2019-Q4,0.894534052
DEU,QGDP,TOT,PC_CHGPY,Q,2020-Q1,-1.919182065
DEU,QGDP,TOT,PC_CHGPY,Q,2020-Q2,-11.28657991
DEU,QGDP,TOT,PC_CHGPY,Q,2020-Q3,-3.660077954
